n,x,y,z,steps,solved,run_id
181177,45295,2735470740,"=""4489680098902217820""",2,True,24c3a5d73ed1
181193,45299,2735954058,"=""48086365192225818""",156,True,24c3a5d73ed1
181201,45301,2736195530,"=""252362895411848770""",30,True,24c3a5d73ed1
181217,45305,2736678730,"=""4493646280003969010""",2,True,24c3a5d73ed1
181225,45307,2736920360,"=""4494439831452597400""",2,True,24c3a5d73ed1
181241,45311,2737405808,"=""3472911162334096""",2158,True,24c3a5d73ed1
181249,45313,2737645350,"=""198974388298902150""",38,True,24c3a5d73ed1
181265,45317,2738128670,"=""4498409165347452670""",2,True,24c3a5d73ed1
181273,,,,500000,False,24c3a5d73ed1
181289,45323,2738854030,"=""30287970602924870""",248,True,24c3a5d73ed1
181297,45325,2739095510,"=""4501586525002200550""",2,True,24c3a5d73ed1
181313,45329,2739578996,"=""2046898108712521372""",4,True,24c3a5d73ed1
181321,45331,2739820754,"=""2047259387455396114""",4,True,24c3a5d73ed1
181337,45335,2740304300,"=""4505560591218789700""",2,True,24c3a5d73ed1
181345,45337,2740546090,"=""4506355720108026770""",2,True,24c3a5d73ed1
181361,45341,2741044814,497118628511854,15114,True,24c3a5d73ed1
181369,,,,500000,False,24c3a5d73ed1
181385,45347,2741755200,"=""4510332943294468800""",2,True,24c3a5d73ed1
181393,45349,2741997086,"=""223323205761938302""",34,True,24c3a5d73ed1
181409,45353,2742480796,"=""2051236610829008372""",4,True,24c3a5d73ed1
181417,45355,2742722680,"=""4513516616889106760""",2,True,24c3a5d73ed1
181433,45359,2743206708,"=""33346450917721788""",226,True,24c3a5d73ed1
181441,45361,2743448406,"=""1328207495441952918""",6,True,24c3a5d73ed1
181457,45365,2743932270,"=""4517498578664479470""",2,True,24c3a5d73ed1
181465,45367,2744174220,"=""4518295287083390820""",2,True,24c3a5d73ed1
181481,45371,2744658170,"=""383041444889973130""",20,True,24c3a5d73ed1
181489,45373,2744900136,"=""2054857294513141272""",4,True,24c3a5d73ed1
181505,45377,2745384130,"=""4522280410008130010""",2,True,24c3a5d73ed1
181513,45379,2745626150,"=""983277774067046350""",8,True,24c3a5d73ed1
181529,45383,2746110258,"=""135469246638790818""",56,True,24c3a5d73ed1
181537,45385,2746352250,"=""4525470405901685250""",2,True,24c3a5d73ed1
181553,45389,2746851502,498699130742606,15130,True,24c3a5d73ed1
181561,45391,2747078466,"=""481687663105745778""",16,True,24c3a5d73ed1
181577,45395,2747562640,"=""4529460273686699120""",2,True,24c3a5d73ed1
181585,45397,2747804750,"=""4530258563725732750""",2,True,24c3a5d73ed1
181601,45401,2748289028,"=""273003343568283916""",28,True,24c3a5d73ed1
181609,,,,500000,False,24c3a5d73ed1
181625,45407,2749015460,"=""4534251596842391500""",2,True,24c3a5d73ed1
181633,,,,500000,False,24c3a5d73ed1
181649,45413,2749742042,"=""254867906156179186""",30,True,24c3a5d73ed1
181657,45415,2749984220,"=""4537447923399420820""",2,True,24c3a5d73ed1
181673,45419,2750468666,"=""2063203056153482122""",4,True,24c3a5d73ed1
181681,45421,2750710918,"=""428287387121236406""",18,True,24c3a5d73ed1
181697,45425,2751195410,"=""4541445707651845450""",2,True,24c3a5d73ed1
181705,45427,2751437680,"=""4542245581402831760""",2,True,24c3a5d73ed1
181721,45431,2751922334,"=""90514856200683334""",84,True,24c3a5d73ed1
181729,,,,500000,False,24c3a5d73ed1
181745,45437,2752649190,"=""4546246535171944470""",2,True,24c3a5d73ed1
181753,45439,2752891526,"=""2066839566498729022""",4,True,24c3a5d73ed1
181769,45443,2753376230,"=""988836605585190670""",8,True,24c3a5d73ed1
181777,45445,2753618590,"=""4549449200762534270""",2,True,24c3a5d73ed1
181793,45449,2754103368,"=""484154382030722808""",16,True,24c3a5d73ed1
181801,45451,2754345760,"=""784802124724617440""",10,True,24c3a5d73ed1
181817,45455,2754830580,"=""4553454911947051260""",2,True,24c3a5d73ed1
181825,45457,2755073010,"=""4554256371503203050""",2,True,24c3a5d73ed1
181841,45461,2755557904,"=""2070845277870862064""",4,True,24c3a5d73ed1
181849,45463,2755800366,"=""2071209721947581622""",4,True,24c3a5d73ed1
181865,45467,2756285320,"=""4558265256392216120""",2,True,24c3a5d73ed1
181873,45469,2756527826,"=""555983825695590682""",14,True,24c3a5d73ed1
181889,45473,2757013242,"=""18554404118243106""",410,True,24c3a5d73ed1
181897,45475,2757255360,"=""4561474269391982400""",2,True,24c3a5d73ed1
181913,45479,2757740472,"=""256352778508780296""",30,True,24c3a5d73ed1
181921,,,,500000,False,24c3a5d73ed1
181937,45485,2758468150,"=""4565487917980185350""",2,True,24c3a5d73ed1
181945,45487,2758710740,"=""4566290965436097820""",2,True,24c3a5d73ed1
181961,45491,2759200616,"=""1631744337891928""",4666,True,24c3a5d73ed1
181969,,,,500000,False,24c3a5d73ed1
181985,45497,2759923850,"=""4570307791919369650""",2,True,24c3a5d73ed1
181993,45499,2760166560,"=""132113051094323040""",58,True,24c3a5d73ed1
182009,45503,2760667010,502466241823090,15168,True,24c3a5d73ed1
182017,45505,2760894530,"=""4573523160709458010""",2,True,24c3a5d73ed1
182033,45509,2761379938,"=""1345626908177834858""",6,True,24c3a5d73ed1
182041,45511,2761622674,"=""322249002599683394""",24,True,24c3a5d73ed1
182057,45515,2762108120,"=""4577544757179852520""",2,True,24c3a5d73ed1
182065,45517,2762350870,"=""4578349394631503270""",2,True,24c3a5d73ed1
182081,45521,2762836414,"=""558531586299923054""",14,True,24c3a5d73ed1
182089,,,,500000,False,24c3a5d73ed1
182105,45527,2763564780,"=""4582374173190304260""",2,True,24c3a5d73ed1
182113,45529,2763807596,"=""2083263386610910372""",4,True,24c3a5d73ed1
182129,45533,2764308430,503460730047470,15178,True,24c3a5d73ed1
182137,45535,2764536100,"=""4585595906157389900""",2,True,24c3a5d73ed1
182153,45539,2765021860,"=""202973781826425740""",38,True,24c3a5d73ed1
182161,45541,2765264718,"=""432831447835619406""",18,True,24c3a5d73ed1
182177,45545,2765750490,"=""4589625460995393570""",2,True,24c3a5d73ed1
182185,45547,2765993400,"=""4590431690540142600""",2,True,24c3a5d73ed1
182201,45551,2766479254,"=""2087292941636901614""",4,True,24c3a5d73ed1
182209,,,,500000,False,24c3a5d73ed1
182225,45557,2767208110,"=""4594464431662655150""",2,True,24c3a5d73ed1
182233,45559,2767451092,"=""792288157226892956""",10,True,24c3a5d73ed1
182249,45563,2767937070,"=""999322904642521830""",8,True,24c3a5d73ed1
182257,45565,2768180070,"=""4597692537198942870""",2,True,24c3a5d73ed1
182273,45569,2768666780,"=""11481049261301620""",668,True,24c3a5d73ed1
182281,45571,2768909154,"=""2090961243532453314""",4,True,24c3a5d73ed1
182297,45575,2769395260,"=""4601730060896885300""",2,True,24c3a5d73ed1
182305,45577,2769638330,"=""4602537884633475010""",2,True,24c3a5d73ed1
182321,45581,2770124508,"=""1000903013293646196""",8,True,24c3a5d73ed1
182329,,,,500000,False,24c3a5d73ed1
182345,45587,2770853840,"=""4606578598814793520""",2,True,24c3a5d73ed1
182353,,,,500000,False,24c3a5d73ed1
182369,45593,2771583276,"=""2095001957901932772""",4,True,24c3a5d73ed1
182377,45595,2771826440,"=""4609813085318017720""",2,True,24c3a5d73ed1
182393,45599,2772312808,"=""1356303227592542168""",6,True,24c3a5d73ed1
182401,45601,2772556060,"=""128833524141009140""",60,True,24c3a5d73ed1
182417,45605,2773042430,"=""4613858588375140510""",2,True,24c3a5d73ed1
182425,45607,2773285660,"=""4614668008403695700""",2,True,24c3a5d73ed1
182441,45611,2773772156,"=""1357731521944031668""",6,True,24c3a5d73ed1
182449,,,,500000,False,24c3a5d73ed1
182465,45617,2774501970,"=""4618716706145826570""",2,True,24c3a5d73ed1
182473,,,,500000,False,24c3a5d73ed1
182489,45623,2775232236,"=""21777322287162372""",354,True,24c3a5d73ed1
182497,45625,2775475210,"=""4621957582019251250""",2,True,24c3a5d73ed1
182513,45629,2775962040,"=""52184863460071560""",148,True,24c3a5d73ed1
182521,,,,500000,False,24c3a5d73ed1
182537,45635,2776692000,"=""4626011074941708000""",2,True,24c3a5d73ed1
182545,45637,2776935390,"=""4626822093363735870""",2,True,24c3a5d73ed1
182561,45641,2777437414,507051751737254,15214,True,24c3a5d73ed1
182569,,,,500000,False,24c3a5d73ed1
182585,45647,2778152500,"=""4630878785175597500""",2,True,24c3a5d73ed1
182593,45649,2778396016,"=""121248443636127632""",64,True,24c3a5d73ed1
182609,45653,2778882916,"=""326289726552243692""",24,True,24c3a5d73ed1
182617,45655,2779126380,"=""4634126058828016260""",2,True,24c3a5d73ed1
182633,45659,2779613386,"=""2107159245119582522""",4,True,24c3a5d73ed1
182641,45661,2779856904,"=""2107528471779179064""",4,True,24c3a5d73ed1
182657,45665,2780343970,"=""4638187552128872570""",2,True,24c3a5d73ed1
182665,45667,2780587520,"=""4639000171047262720""",2,True,24c3a5d73ed1
182681,45671,2781074790,"=""55377398084606910""",140,True,24c3a5d73ed1
182689,45673,2781318240,"=""1009008408369555360""",8,True,24c3a5d73ed1
182705,45677,2781805430,"=""4643064867444685510""",2,True,24c3a5d73ed1
182713,45679,2782049048,"=""1365846509949310888""",6,True,24c3a5d73ed1
182729,45683,2782536306,"=""2111593168365134322""",4,True,24c3a5d73ed1
182737,45685,2782779950,"=""4646318547290421550""",2,True,24c3a5d73ed1
182753,45689,2783267308,"=""217193742294720548""",36,True,24c3a5d73ed1
182761,,,,500000,False,24c3a5d73ed1
182777,45695,2783998340,"=""4650388051489655020""",2,True,24c3a5d73ed1
182785,45697,2784242050,"=""4651202273008679450""",2,True,24c3a5d73ed1
182801,45701,2784729506,"=""1368479718671800618""",6,True,24c3a5d73ed1
182809,45703,2784973246,"=""2115293446561147622""",4,True,24c3a5d73ed1
182825,45707,2785460760,"=""4655274984514405800""",2,True,24c3a5d73ed1
182833,,,,500000,False,24c3a5d73ed1
182849,45713,2786192118,"=""1369917618108865398""",6,True,24c3a5d73ed1
182857,45715,2786435920,"=""4658535078973311920""",2,True,24c3a5d73ed1
182873,45719,2786923570,"=""1013079516998495330""",8,True,24c3a5d73ed1
182881,,,,500000,False,24c3a5d73ed1
182897,45725,2787655110,"=""4662612604597812150""",2,True,24c3a5d73ed1
182905,45727,2787898980,"=""4663428430823125260""",2,True,24c3a5d73ed1
182921,45731,2788386766,"=""496283024241651878""",16,True,24c3a5d73ed1
182929,45733,2788630662,"=""804461476767909846""",10,True,24c3a5d73ed1
182945,45737,2789118490,"=""4667509167966809570""",2,True,24c3a5d73ed1
182953,45739,2789362440,"=""440408081456831160""",18,True,24c3a5d73ed1
182969,45743,2789850372,"=""156710032743341676""",50,True,24c3a5d73ed1
182977,45745,2790094290,"=""4670775685464268170""",2,True,24c3a5d73ed1
182993,45749,2790582256,"=""2123822541073613072""",4,True,24c3a5d73ed1
183001,,,,500000,False,24c3a5d73ed1
183017,45755,2791314280,"=""4674861243047836760""",2,True,24c3a5d73ed1
183025,45757,2791558310,"=""4675678676086475350""",2,True,24c3a5d73ed1
