n,x,y,z,steps,solved,run_id
74641,18662,198992907,"=""39598176837317742""",1000002,True,ddfc760d9ae1
74713,18680,199376980,"=""13912912854495160""",1000003,True,ddfc760d9ae1
74761,18694,93172144,"=""5008297070802896""",3000002,True,ddfc760d9ae1
74881,18722,200274642,681479230787487,1000059,True,ddfc760d9ae1
75121,18783,128272526,"=""4209121969183926""",2000004,True,ddfc760d9ae1
75169,18794,201819369,30341120296722,1001343,True,ddfc760d9ae1
75241,18812,202205134,127430079857068,1000321,True,ddfc760d9ae1
75289,18824,202462884,"=""5518048562598312""",1000008,True,ddfc760d9ae1
75433,18860,203238055,"=""57827989597018180""",1000001,True,ddfc760d9ae1
75553,18890,203885170,"=""14549206687189945""",1000003,True,ddfc760d9ae1
75673,18920,204533310,"=""29283712225155960""",1000002,True,ddfc760d9ae1
75793,18950,205182480,"=""29469894864082800""",1000002,True,ddfc760d9ae1
75913,18980,205832679,"=""22813049194953420""",1000002,True,ddfc760d9ae1
75961,18993,131157026,"=""14555678342751546""",2000002,True,ddfc760d9ae1
76033,19010,206483905,"=""59689844027184730""",1000001,True,ddfc760d9ae1
76129,19034,207005631,"=""9676106852992986""",1000005,True,ddfc760d9ae1
76201,19052,207397402,831756081261292,1000052,True,ddfc760d9ae1
76321,19082,208051047,"=""43285237949745162""",1000002,True,ddfc760d9ae1
76369,19094,208315540,15908849474260,1002728,True,ddfc760d9ae1
76489,19124,208967949,"=""43667603500298652""",1000002,True,ddfc760d9ae1
76561,19142,209361528,"=""9024286433152104""",1000005,True,ddfc760d9ae1
76729,19185,133822578,79018440669290,2000227,True,ddfc760d9ae1
76753,19190,210412870,"=""15495751341160045""",1000003,True,ddfc760d9ae1
76801,19203,134073616,"=""1142965643848176""",2000016,True,ddfc760d9ae1
76849,19214,210939531,"=""10047367536463686""",1000005,True,ddfc760d9ae1
76873,19220,211071295,"=""62371527991096540""",1000001,True,ddfc760d9ae1
76921,19232,211334955,"=""24049018437431520""",1000002,True,ddfc760d9ae1
76969,19244,211598779,"=""18436370548403332""",1000003,True,ddfc760d9ae1
77089,19274,212259115,752690774146810,1000060,True,ddfc760d9ae1
77233,19310,213052749,"=""24441562632731790""",1000002,True,ddfc760d9ae1
77281,19323,135754620,"=""3556534695206580""",2000006,True,ddfc760d9ae1
77329,19334,213582699,"=""45617569098541902""",1000002,True,ddfc760d9ae1
77521,19382,214645078,91517256004009,1000504,True,ddfc760d9ae1
77593,19400,215043460,"=""16185291176026600""",1000003,True,ddfc760d9ae1
77689,19424,215576050,267966203975200,1000174,True,ddfc760d9ae1
77713,19430,215709085,"=""65142572876443030""",1000001,True,ddfc760d9ae1
77761,19442,215981178,8397456191229,1005555,True,ddfc760d9ae1
77881,19472,216642693,"=""17291494257675504""",1000003,True,ddfc760d9ae1
77929,19484,216910501,67614473729716,1000696,True,ddfc760d9ae1
78049,19514,217578439,373599150881242,1000127,True,ddfc760d9ae1
78121,19532,217979913,"=""17505615429410244""",1000003,True,ddfc760d9ae1
78169,19544,218247849,"=""47632123374878952""",1000002,True,ddfc760d9ae1
78241,19564,102047138,"=""1069892196650572""",3000010,True,ddfc760d9ae1
78481,19622,219993462,"=""6514997150376117""",1000008,True,ddfc760d9ae1
78721,19682,221340964,"=""13190105794472308""",1000004,True,ddfc760d9ae1
79009,19754,222963399,"=""49712677070669802""",1000002,True,ddfc760d9ae1
79201,19802,224049729,35489925173058,1001415,True,ddfc760d9ae1
79249,19814,224319966,"=""4634685697044351""",1000011,True,ddfc760d9ae1
79273,19820,224455840,"=""17633148214081120""",1000003,True,ddfc760d9ae1
79369,19844,224999800,"=""2160819104270200""",1000024,True,ddfc760d9ae1
79513,19880,225816921,"=""50993281584103320""",1000002,True,ddfc760d9ae1
79561,19892,226092472,17988143164792,1002842,True,ddfc760d9ae1
79609,19904,226362594,576655991863872,1000089,True,ddfc760d9ae1
79633,19910,226499005,"=""71822518745887030""",1000001,True,ddfc760d9ae1
79729,19934,227045416,"=""13878743868581176""",1000004,True,ddfc760d9ae1
79873,19970,227866260,"=""36346122484605060""",1000002,True,ddfc760d9ae1
79969,19994,228414316,"=""14046603551440876""",1000004,True,ddfc760d9ae1
80089,20024,229100386,649132117290856,1000081,True,ddfc760d9ae1
80161,20042,229512400,"=""9703462725127600""",1000006,True,ddfc760d9ae1
80233,20060,229924855,"=""74011614295554580""",1000001,True,ddfc760d9ae1
80281,20072,230200035,"=""28534183831185240""",1000002,True,ddfc760d9ae1
80329,20085,146673462,"=""2022599417477990""",2000011,True,ddfc760d9ae1
80353,20090,230613111,"=""53182406734485210""",1000002,True,ddfc760d9ae1
80449,20114,231164506,"=""1050727863890461""",1000051,True,ddfc760d9ae1
80689,20174,232545699,"=""54077501890852902""",1000002,True,ddfc760d9ae1
80761,20193,148257006,11973384061566,2001836,True,ddfc760d9ae1
80833,20210,233376420,"=""38125187155035060""",1000002,True,ddfc760d9ae1
80929,20235,148872600,855415855823400,2000026,True,ddfc760d9ae1
80953,20240,234069820,"=""19176037988121520""",1000003,True,ddfc760d9ae1
81289,20324,236016807,"=""29994425325931404""",1000002,True,ddfc760d9ae1
81409,20354,236717020,19270895881180,1002908,True,ddfc760d9ae1
81553,20390,237552240,"=""39501746472760080""",1000002,True,ddfc760d9ae1
81769,20444,238812216,"=""5252880308237976""",1000011,True,ddfc760d9ae1
81841,20462,239232942,"=""7704361371648357""",1000008,True,ddfc760d9ae1
81913,20480,239654035,"=""80407678848839680""",1000001,True,ddfc760d9ae1
82033,20510,240356691,"=""57771338668112790""",1000002,True,ddfc760d9ae1
82081,20522,240638058,"=""3268924958604519""",1000018,True,ddfc760d9ae1
82129,20534,240925422,9893481991719,1005867,True,ddfc760d9ae1
82201,20552,241342137,"=""58246026850384632""",1000002,True,ddfc760d9ae1
82393,20600,242470830,"=""41154472138151400""",1000002,True,ddfc760d9ae1
82441,20612,242753424,"=""5427691521010608""",1000011,True,ddfc760d9ae1
82513,20630,243177600,"=""41394741356054400""",1000002,True,ddfc760d9ae1
82561,20642,243462069,40200943757418,1001475,True,ddfc760d9ae1
82609,20655,155117180,"=""3113820254796660""",2000008,True,ddfc760d9ae1
82633,20660,243885400,"=""20818030672720600""",1000003,True,ddfc760d9ae1
82729,20684,244453854,40446845775132,1001478,True,ddfc760d9ae1
82801,20702,244878052,"=""6770271085109092""",1000009,True,ddfc760d9ae1
82873,20720,245304081,"=""60174091909950480""",1000002,True,ddfc760d9ae1
