n,x,y,z,steps,solved,run_id
29497,7375,72513460,"=""3154921056189500""",2,True,4dea7238a2e7
29513,7379,72592146,"=""1437168925831122""",4,True,4dea7238a2e7
29521,7381,72631504,"=""1438727756450864""",4,True,4dea7238a2e7
29537,7385,72710250,"=""3172068200327250""",2,True,4dea7238a2e7
29545,7387,72749640,"=""3175505999328120""",2,True,4dea7238a2e7
29561,7391,72828464,388096402922704,14,True,4dea7238a2e7
29569,,,,500000,False,4dea7238a2e7
29585,7397,72946750,"=""3192736928390750""",2,True,4dea7238a2e7
29593,7399,72986236,158227371928052,34,True,4dea7238a2e7
29609,7403,73065146,"=""1455958716026122""",4,True,4dea7238a2e7
29617,7405,73104630,"=""3206572083357510""",2,True,4dea7238a2e7
29633,7409,73183712,67228241068576,80,True,4dea7238a2e7
29641,,,,500000,False,4dea7238a2e7
29657,7415,73302220,"=""3223929200854820""",2,True,4dea7238a2e7
29665,7417,73341770,"=""3227409062697970""",2,True,4dea7238a2e7
29681,7421,73420914,394436312866554,14,True,4dea7238a2e7
29689,7423,73460486,"=""1471757109273022""",4,True,4dea7238a2e7
29705,7427,73539680,"=""3244850647161760""",2,True,4dea7238a2e7
29713,7429,73579298,955396354804138,6,True,4dea7238a2e7
29729,7433,73658598,118808445888678,46,True,4dea7238a2e7
29737,7435,73698200,"=""3258854736245800""",2,True,4dea7238a2e7
29753,7439,73777580,94389486522820,58,True,4dea7238a2e7
29761,,,,500000,False,4dea7238a2e7
29777,7445,73896590,"=""3276423534280270""",2,True,4dea7238a2e7
29785,7447,73936300,"=""3279945800677700""",2,True,4dea7238a2e7
29801,7451,74015756,966764420616868,6,True,4dea7238a2e7
29809,7453,74055502,567332757993326,10,True,4dea7238a2e7
29825,7457,74135010,"=""3297599750485050""",2,True,4dea7238a2e7
29833,,,,500000,False,4dea7238a2e7
29849,7463,74254368,973007778759648,6,True,4dea7238a2e7
29857,7465,74294170,"=""3311774143299170""",2,True,4dea7238a2e7
29873,7469,74373816,"=""1508581154644872""",4,True,4dea7238a2e7
29881,,,,500000,False,4dea7238a2e7
29897,7475,74493360,"=""3329556335960400""",2,True,4dea7238a2e7
29905,7477,74533230,"=""3333121350006510""",2,True,4dea7238a2e7
29921,7481,74615494,2232570195974,2494,True,4dea7238a2e7
29929,7483,74652960,96642661244640,58,True,4dea7238a2e7
29945,7487,74732740,"=""3350989382011820""",2,True,4dea7238a2e7
29953,7489,74772676,"=""1524805309645772""",4,True,4dea7238a2e7
29969,7493,74852580,730814107667820,8,True,4dea7238a2e7
29977,7495,74892540,"=""3365335453698420""",2,True,4dea7238a2e7
29993,7499,74972532,189467808886716,30,True,4dea7238a2e7
30001,,,,500000,False,4dea7238a2e7
30017,7505,75092530,"=""3383332761988010""",2,True,4dea7238a2e7
30025,7507,75132560,"=""3386940868159600""",2,True,4dea7238a2e7
30041,7511,75212654,"=""1542802648893814""",4,True,4dea7238a2e7
30049,7513,75252716,"=""1544446633486372""",4,True,4dea7238a2e7
30065,7517,75332870,"=""3405024706129270""",2,True,4dea7238a2e7
30073,7519,75372968,"=""1002544213767448""",6,True,4dea7238a2e7
30089,7523,75455690,2270386256410,2508,True,4dea7238a2e7
30097,7525,75493310,"=""3419543837360350""",2,True,4dea7238a2e7
30113,7529,75576102,2275823159526,2510,True,4dea7238a2e7
30121,7531,75613756,"=""1008959941402868""",6,True,4dea7238a2e7
30137,7535,75694100,"=""3437757989191900""",2,True,4dea7238a2e7
30145,7537,75734290,"=""3441409533348170""",2,True,4dea7238a2e7
30161,7541,75817214,2286722991454,2514,True,4dea7238a2e7
30169,,,,500000,False,4dea7238a2e7
30185,7547,75935400,"=""3459710907960600""",2,True,4dea7238a2e7
30193,,,,500000,False,4dea7238a2e7
30209,7553,76056198,"=""1020802027628838""",6,True,4dea7238a2e7
30217,7555,76096480,"=""3474404484937760""",2,True,4dea7238a2e7
30233,7559,76177288,28215381879608,206,True,4dea7238a2e7
30241,,,,500000,False,4dea7238a2e7
30257,7565,76298070,"=""3492837215136870""",2,True,4dea7238a2e7
30265,7567,76338420,"=""3496532544519420""",2,True,4dea7238a2e7
30281,7571,76419186,163735212989298,36,True,4dea7238a2e7
30289,,,,500000,False,4dea7238a2e7
30305,7577,76540330,"=""3515053193365010""",2,True,4dea7238a2e7
30313,7579,76580746,"=""1599439193760122""",4,True,4dea7238a2e7
30329,7583,76662380,7557300758020,778,True,4dea7238a2e7
30337,7585,76702050,"=""3529922607819450""",2,True,4dea7238a2e7
30353,7589,76783052,74003735866756,80,True,4dea7238a2e7
30361,,,,500000,False,4dea7238a2e7
30377,7595,76904440,"=""3548575658123720""",2,True,4dea7238a2e7
30385,7597,76944950,"=""3552315121356550""",2,True,4dea7238a2e7
30401,7601,77026004,"=""1618092275394364""",4,True,4dea7238a2e7
30409,7603,77066558,379101265186678,16,True,4dea7238a2e7
30425,7607,77147660,"=""3571056788937700""",2,True,4dea7238a2e7
30433,,,,500000,False,4dea7238a2e7
30449,7613,77269420,778769044530980,8,True,4dea7238a2e7
30457,7615,77310020,"=""3586103438130220""",2,True,4dea7238a2e7
30473,7619,77391396,44808612195852,134,True,4dea7238a2e7
30481,7621,77431904,"=""1635190765404064""",4,True,4dea7238a2e7
30497,7625,77513210,"=""3604978557189250""",2,True,4dea7238a2e7
