batch_k,candidates,survivors,survivor_n,is_prime
3093,2101514,95,80063894352649,False
3093,2101514,95,80049363714961,False
3093,2101514,95,80043780864961,False
3093,2101514,95,80067652490809,False
3093,2101514,95,80062927988521,False
3093,2101514,95,80068690468321,False
3093,2101514,95,80050007902489,False
3093,2101514,95,80047359592561,False
3093,2101514,95,80067079816441,False
3093,2101514,95,80048970046081,False
3093,2101514,95,80056700448481,False
3093,2101514,95,80046894353449,False
3093,2101514,95,80059492074409,False
3093,2101514,95,80057416245361,False
3093,2101514,95,80044102947169,False
3093,2101514,95,80061746884729,False
3093,2101514,95,80047216441921,False
3093,2101514,95,80043924012529,False
3093,2101514,95,80052405734401,False
3093,2101514,95,80049292138729,False
3093,2101514,95,80060315255449,False
3093,2101514,95,80049506867521,False
3093,2101514,95,80068189374889,False
3093,2101514,95,80063429065489,False
3093,2101514,95,80057201505961,False
3093,2101514,95,80049936325969,False
3093,2101514,95,80050974188641,False
3097,2101514,94,80158196578321,False
3097,2101514,94,80168582523481,False
3097,2101514,94,80153003858041,False
3097,2101514,94,80147847116089,False
3097,2101514,94,80149924117201,False
3097,2101514,94,80163425280409,False
3097,2101514,94,80160309526441,False
3097,2101514,94,80165466669289,False
3097,2101514,94,80164929459169,False
3097,2101514,94,80152466689681,False
3097,2101514,94,80169155560729,False
3097,2101514,94,80163962485489,False
3097,2101514,94,80150461277041,False
3097,2101514,94,80163890858041,False
3097,2101514,94,80172271486609,False
3097,2101514,94,80151428169289,False
3097,2101514,94,80154543750649,False
3097,2101514,94,80159450018761,False
3097,2101514,94,80153863331161,False
3097,2101514,94,80155295796601,False
3097,2101514,94,80155474855681,False
3097,2101514,94,80169263005441,False
3097,2101514,94,80159915584849,False
3097,2101514,94,80148491699761,False
3097,2101514,94,80170015120441,False
3097,2101514,94,80147453205121,False
3097,2101514,94,80153684273881,False
3097,2101514,94,80163783416929,False
3097,2101514,94,80149279527769,False
3097,2101514,94,80155725538729,False
3097,2101514,94,80156549214361,False
3097,2101514,94,80150532898489,False
3097,2101514,94,80169227190529,False
3097,2101514,94,80147417395081,False
3097,2101514,94,80152609934401,False
3097,2101514,94,80159664895249,False
3097,2101514,94,80162780636689,False
3097,2101514,94,80167508084161,False
3097,2101514,94,80161383917521,False
3097,2101514,94,80170731423721,False
3097,2101514,94,80147775495841,False
3097,2101514,94,80152036956289,False
3097,2101514,94,80157229645249,False
3097,2101514,94,80153361971281,False
3097,2101514,94,80165824810369,False
3097,2101514,94,80157874266649,False
